patternlen,textlen,cmp,timetaken
15,845,55,9000
11,873,21,1000
18,903,45,2000
23,933,69,2000
24,962,37,1000
13,989,15,1000
23,1016,32,1000
22,1044,53,2000
11,1071,47,2000
20,1099,53,1000
15,1128,19,0
15,1157,29,1000
13,1187,15,1000
25,1217,57,1000
21,1245,34,1000
15,1275,24,2000
31,1304,52,1000
23,1332,32,1000
15,1361,29,1000
17,1390,23,1000
16,1420,137,2000
7,1450,11,1000
10,1478,49,1000
29,1504,40,0
17,1533,23,1000
19,1560,62,1000
12,1587,71,2000
11,1616,21,0
13,1645,15,1000
24,1675,37,1000
